Team,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Arsenal,10,4,12,5,3,1,2,2,2,1,2,1,2,4,4,3,4,3,4,3,4,4,3,2,5
Aston Villa,2,10,18,4,5,7,6,6,8,8,16,6,10,16,11,6,6,6,9,16,15,15,17,20,
Birmingham,,,,,,,,,,,13,10,12,18,,19,,9,18,,,,,,
Blackburn,4,2,1,7,13,6,19,,,10,6,15,15,6,10,7,15,10,15,19,,,,,
Blackpool,,,,,,,,,,,,,,,,,,,19,,,,,,
Bolton,,,,20,,18,,,,16,17,8,6,8,7,16,13,14,14,18,,,,,
Bournemouth,,,,,,,,,,,,,,,,,,,,,,,,16,9
Bradford,,,,,,,,17,20,,,,,,,,,,,,,,,,
Burnley,,,,,,,,,,,,,,,,,,18,,,,,19,,16
Cardiff,,,,,,,,,,,,,,,,,,,,,,20,,,
Charlton,,,,,,,18,,9,14,12,7,11,13,19,,,,,,,,,,
Chelsea,22,14,11,11,6,4,3,5,6,6,4,2,1,1,2,2,3,1,2,6,3,3,1,10,1
Coventry,15,11,16,16,17,11,15,14,19,,,,,,,,,,,,,,,,
Crystal Palace,20,,19,,,20,,,,,,,18,,,,,,,,,11,10,15,14
Derby,,,,,12,9,8,16,17,19,,,,,,20,,,,,,,,,
Everton,13,17,15,6,15,17,14,13,16,15,7,17,4,11,6,5,5,8,7,7,6,5,11,11,7
Fulham,,,,,,,,,,13,14,9,13,12,,17,7,12,8,9,12,19,,,
Hull,,,,,,,,,,,,,,,,,17,19,,,,16,18,,18
Ipswich,16,19,22,,,,,,5,18,,,,,,,,,,,,,,,
Leeds,17,,5,13,11,5,4,3,4,5,15,19,,,,,,,,,,,,,
Leicester,,,21,,9,10,10,8,13,20,,18,,,,,,,,,,,14,1,12
Liverpool,6,8,4,3,4,3,7,4,3,2,5,4,5,3,3,4,2,7,6,8,7,2,6,8,4
Man City,9,16,17,18,,,,,18,,9,16,8,15,14,9,10,5,3,1,2,1,2,4,3
Man United,1,1,2,1,1,2,1,1,1,3,1,3,3,2,1,1,1,2,1,2,1,7,4,5,6
Middlesboro,,,,,,,,12,14,12,11,11,7,14,12,13,19,,,,,,,,
Middlesbrough,21,,,12,19,,9,12,14,12,11,11,7,14,12,13,19,,,,,,,,19
Newcastle,,3,6,2,2,13,13,11,11,4,3,5,14,7,13,12,18,,12,5,16,10,15,18,
Norwich,3,12,20,,,,,,,,,,19,,,,,,,12,11,18,,19,
Nott'm Forest,22,,3,9,20,,20,,,,,,,,,,,,,,,,,,
Oldham,19,21,,,,,,,,,,,,,,,,,,,,,,,
Portsmouth,,,,,,,,,,,,13,16,17,9,8,14,20,,,,,,,
QPR,5,9,8,19,,,,,,,,,,,,,,,,17,20,,,,
Reading,,,,,,,,,,,,,,,8,18,,,,,19,,20,,
Sheffield United,14,20,,,,,,19,,,,,,,18,,,,,,,,,,
Sheffield Weds,7,7,13,15,7,16,12,,,,,,,,,,,,,,,,,,
Southampton,18,18,10,17,16,12,17,15,10,11,8,12,20,,,,,,,,14,8,7,6,8
Stoke,,,,,,,,,,,,,,,,,12,11,13,14,13,9,9,9,13
Sunderland,,,,,18,,,7,7,17,20,,,20,,15,16,13,10,13,17,14,16,17,20
Swansea,,,,,,,,,,,,,,,,,,,,11,9,12,8,12,15
Swindon,,22,,,,,,,,,,,,,,,,,,,,,,,
Tottenham,8,15,7,8,10,14,11,10,12,9,10,15,9,5,5,11,8,4,5,4,5,6,5,3,2
Watford,,,,,,,,20,,,,,,,20,,,,,,,,,13,17
West Brom,,,,,,,,,,,19,,17,19,,,20,,11,10,8,17,13,14,10
West Ham,,13,14,10,14,8,5,9,15,7,18,,,9,15,10,9,17,20,,10,13,12,7,11
Wigan,,,,,,,,,,,,,,10,,14,11,16,16,15,18,,,,
Wolves,,,,,,,,,,,,20,,,,,,15,17,20,,,,,
Wimbledon,12,6,9,14,8,15,16,18,,,,,,,,,,,,,,,,,